name,longitude,latitude,soldiers,country
A,111.3479498,-6.7098551,119800,0
B,-60.7829517,-31.6577222,133800,0
C,114.021538,33.387684,126900,1
D,102.159264,24.248501,121200,1
E,121.0607193,15.6286312,144000,0
F,67.0043278,24.8689579,109800,0
G,5.8978018,43.4945737,102500,1
H,20.9095433,41.8632851,106500,1
I,26.6110106,61.7065022,102500,1
J,112.243026,-7.6077557,107100,0
K,17.1339232,58.8049634,108900,1
L,57.2583377,59.3335257,115600,0
M,121.9306,-10.5676,106500,0
N,124.1255,-9.9544,137000,0
O,-70.1356692,-20.2307033,132400,0
P,134.51484,7.36451,130200,0
Q,6.535628,48.0515029,116100,0
R,110.86585,22.851846,110300,1
S,110.0330554,-7.7403739,130600,0
T,-61.495357,10.6485481,138400,0
